amfi_code,scheme_name,fund_house,category,Annual Return,Annual Downside Risk,Sortino Ratio,Rank
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,0.08312437838149542,0.08197854923650978,0.22108683979276353,29
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,0.07859995621336482,0.10906710855119689,0.12469346986475674,30
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,0.06929469030104402,0.08168850530540543,0.05257398559304803,31
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,0.0507318653023297,0.15116589359593166,-0.09438726129459606,32
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,0.04595602382589967,0.14856565206962127,-0.12818559275851926,33
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,0.06454444499823224,0.002426739855581489,-0.1877230477424223,34
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,0.027673310029606265,0.1075008422459035,-0.34722230254727265,35
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,0.03568302536201135,0.0835128521518683,-0.3510474601523089,36
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,0.056011613099590955,0.023856618826714023,-0.37676700817066683,37
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,0.050786394904641624,0.02316711154903751,-0.6135251287271023,38
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,0.04285355596222693,0.023514487863530102,-0.9418212366054204,39
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,0.06086966398608307,0.0024570154519476042,-1.681037866751281,40
